
Timestamp,Day_of_the_week,Zone_ID,Occupancy_Count,Noise_Level,Temperature,Humidity,Air_Quality,Light_Level,Device_Usage_Count,WiFi_Speed,Total_Power_Consumption
2026-04-06 09:00,Monday,zone1,7,37.3,20.4,41.6,585,352,3,171.1,623
2026-04-06 09:05,Monday,zone2,1,31.8,19.2,39.0,411,299,1,149.6,452
2026-04-06 09:10,Monday,zone3,0,34.6,20.3,45.1,470,267,0,200.6,367
2026-04-06 09:16,Monday,zone4,0,31.7,19.7,43.7,449,225,0,94.7,325
2026-04-06 09:21,Monday,zone1,11,33.1,20.9,42.1,626,393,3,169.0,676
2026-04-06 09:27,Monday,zone2,0,32.7,20.2,36.5,466,331,0,148.1,431
2026-04-06 09:32,Monday,zone3,2,30.1,20.5,42.1,512,281,3,193.0,537
2026-04-06 09:38,Monday,zone4,2,31.2,19.8,39.9,419,239,1,92.0,395
2026-04-06 09:43,Monday,zone1,14,38.9,20.4,44.0,658,358,10,167.5,1000
2026-04-06 09:49,Monday,zone2,11,34.9,20.4,41.1,587,331,1,138.1,514
2026-04-06 09:54,Monday,zone3,6,34.1,20.6,40.5,501,270,6,190.5,688
2026-04-06 10:00,Monday,zone4,13,38.7,20.4,43.9,571,237,3,92.4,526
2026-04-06 10:05,Monday,zone1,13,38.2,20.6,41.2,592,345,4,174.3,684
2026-04-06 10:10,Monday,zone2,12,33.2,20.5,41.7,498,328,11,127.9,1014
2026-04-06 10:16,Monday,zone3,11,30.5,20.2,40.5,561,285,14,173.7,1118
2026-04-06 10:21,Monday,zone4,10,32.4,20.7,39.7,640,242,5,83.0,622
2026-04-06 10:27,Monday,zone1,24,40.9,21.2,47.0,782,372,16,148.0,1344
2026-04-06 10:32,Monday,zone2,16,32.3,20.0,45.5,603,335,7,134.4,833
2026-04-06 10:38,Monday,zone3,19,38.2,21.8,42.2,668,298,13,166.8,1105
2026-04-06 10:43,Monday,zone4,19,33.5,20.7,43.5,644,241,7,87.2,748
2026-04-06 10:49,Monday,zone1,30,40.1,20.3,46.6,876,384,14,155.7,1274
2026-04-06 10:54,Monday,zone2,19,32.4,21.1,43.7,719,328,14,131.5,1185
2026-04-06 11:00,Monday,zone3,18,32.7,20.4,45.1,693,298,13,187.7,1102
2026-04-06 11:05,Monday,zone4,18,34.9,20.0,43.7,655,234,7,89.6,738
2026-04-06 11:10,Monday,zone1,39,49.6,21.6,47.9,901,385,19,137.4,1552
2026-04-06 11:16,Monday,zone2,29,45.6,20.4,44.7,801,346,18,108.3,1433
2026-04-06 11:21,Monday,zone3,27,47.0,21.5,45.9,744,286,23,155.5,1617
2026-04-06 11:27,Monday,zone4,24,49.1,21.0,45.9,786,286,8,87.3,858
2026-04-06 11:32,Monday,zone1,46,43.8,21.0,46.8,975,399,25,121.1,1887
2026-04-06 11:38,Monday,zone2,42,45.9,21.3,44.1,918,361,24,105.4,1787
2026-04-06 11:43,Monday,zone3,28,40.5,21.8,46.9,827,325,23,154.1,1659
2026-04-06 11:49,Monday,zone4,30,43.2,20.5,44.3,835,261,8,88.3,851
2026-04-06 11:54,Monday,zone1,52,51.6,20.8,49.7,1137,409,25,131.9,1915
2026-04-06 12:00,Monday,zone2,57,56.1,22.3,47.1,1156,353,31,91.9,2174
2026-04-06 12:05,Monday,zone3,33,44.9,20.9,41.0,781,295,26,155.7,1794
2026-04-06 12:10,Monday,zone4,40,40.5,21.8,46.0,881,244,15,72.3,1214
2026-04-06 12:16,Monday,zone1,70,50.3,22.2,46.7,1354,422,34,108.9,2432
2026-04-06 12:21,Monday,zone2,68,55.5,22.2,49.0,1256,371,40,67.5,2675
2026-04-06 12:27,Monday,zone3,42,41.2,22.0,47.0,983,324,35,126.9,2300
2026-04-06 12:32,Monday,zone4,43,41.8,21.3,46.7,1030,269,14,69.0,1198
2026-04-06 12:38,Monday,zone1,82,68.6,22.2,51.5,1447,439,41,98.1,2835
2026-04-06 12:43,Monday,zone2,70,58.3,22.3,50.2,1295,369,43,67.0,2829
2026-04-06 12:49,Monday,zone3,46,42.9,20.8,48.4,1035,332,41,114.5,2620
2026-04-06 12:54,Monday,zone4,43,45.5,20.9,45.8,987,267,15,67.2,1246
2026-04-06 13:00,Monday,zone1,84,60.8,22.6,53.7,1502,426,42,101.8,2878
2026-04-06 13:05,Monday,zone2,70,59.5,22.3,53.5,1333,376,41,67.2,2736
2026-04-06 13:10,Monday,zone3,55,50.1,21.6,50.8,1149,318,42,118.5,2683
2026-04-06 13:16,Monday,zone4,47,43.7,21.5,47.1,1019,268,15,66.1,1259
2026-04-06 13:21,Monday,zone1,95,66.3,23.8,56.7,1681,432,48,83.4,3217
